AnalyteName	Alias	CAS_Number	UnitName	BeneficialUse	Objective	AveragingPeroid	Objective_Language	Evaluation_Guideline	Objective_Ref_Number	Eval_Ref_Number
"Tetrachloroethane, 1,1,1,2-"		630-20-6	ug/L	MU	1	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The USEPA Health Advisory for Tetrachloroethane, 1,1,1,2- as a drinking water level with a one in a million cancer risk is 0.001 mg/L."	2430	4281
"Trichloropropane, 1,2,3-"		96-18-4	ug/L	MU	0.000005	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"California Maximum Contaminant Levels (MCLs) apply to ambient waters under the Lahontan Basin Plan's ""Chemical Constituents"" objective. The CA Primary MCL for Trichloropropane, 1,2,3- is 0.000005 ug/L"	2430	2688
"Trimethylbenzene, 1,2,4-"		95-63-6	ug/L	MU	330	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"Drinking water notification levels are published by the Division of Drinking Water and are for chemicals for which there is no drinking water MCL. If a notification level is exceeded, local government notification is required and customer notification is recommended. The criteria for 1,2,4-Trimethylbenzene is 0.33 mg/L. "	2430	2659
"Trimethylbenzene, 1,3,5-"		108-67-8	ug/L	MU	330	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"Drinking water notification levels are published by the Division of Drinking Water and are for chemicals for which there is no drinking water MCL. If a notification level is exceeded, local government notification is required and customer notification is recommended. The criteria for 1,3,5-Trimethylbenzene is 0.33 mg/L.  "	2430	2659
Turbidity		Unknown	NTU	MU	5	7	Water designated as MUN shall not contain concentrations of chemical constituents in excess of the maximum contaminant level (MCL) or secondary maximum contaminant level (SMCL) based upon drinking water standards specified in Title 22 of the California Code of Regulations.  The Lahontan Basin Plan also has regionwide turbidity objective for other beneficial uses that states: Waters shall be free of changes in turbidity that cause nuisance or adversely affect the water for beneficial uses.  Increases in turbidity shall not exceed natural levels by more than 10%. 	"California Maximum Contaminant Levels (MCLs) apply to ambient surface waters under the Lahontan Basin Plan's ""Chemical Constituents"" objective. The Secondary MCL for turbidity is 5 NTU. Calculation of a numeric objective for other beneficial uses requires comparison with upstream or other background data which may not be available as part of the data used for water quality assessment. "	2430	2688
Vanadium		7440-62-2	ug/L	MU	50	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"Drinking water notification levels are published by the Division of Drinking Water and are for chemicals for which there is no drinking water MCL. If a notification level is exceeded, local government notification is required and customer notification is recommended. The criteria for Vanadium is 0.05 mg/L."	2430	2659
Vanadium		7440-62-2	ug/L	AG	100	7	"Waters designated as AGR shall not contain concentrations of chemical constituents in amounts that adversely affect the water for beneficial uses (Water Quality Control Plan, Lahontan Region)."	"Water Quality for Agriculture, published by the Food and Agriculture Organization of the United Nations in 1985, contains criteria protective of various agricultural uses of water. These criteria were used to translate narrative water quality objectives for chemical constituents that prohibit chemicals in concentrations that would impair agricultural uses of water. The 0.1 mg/L criteria is for the recommended maximum concentrations of vanadium in irrigation water"	2430	2648
Acetone		67-64-1	ug/L	MU	6300	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life. Waters shall not contain taste or odor-producing substances in concentrations that impart unsdeirable tastes or odors."	"Based on USEPA IRIS reference dose (RfD) as a drinking water level, the drinking water health advisory level for acetone is 6300 µg/L. "	2430	2527
Bromide		24959-67-9	ug/L	MU	2300	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	National Academy of Science Health Advisory water quality objective for Bromide is 2300 ug/L.	2430	4542
"Cyhalothrin, Total lambda-"		91465-08-6	ug/L	CO	0.0005	4	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	UC Davis Aquatic Life Criteria: Aquatic life should not be affected unacceptably if the 4-day average concentration of lambda-cyhalothrin does not exceed 0.0005 ug/L.  Mixtures of lambda-cyhalothrin and other pyrethroids should be considered in an additive manner. (Fojut et al. 2012)	2430	3934
"Cyhalothrin, Total lambda-"		91465-08-6	ug/L	WA	0.0005	4	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	UC Davis Aquatic Life Criteria: Aquatic life should not be affected unacceptably if the 4-day average concentration of lambda-cyhalothrin does not exceed 0.0005 ug/L.  Mixtures of lambda-cyhalothrin and other pyrethroids should be considered in an additive manner. (Fojut et al. 2012)	2430	3934
Butylate		2008-41-5	ug/L	MU	400	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The USEPA Health Advisory IRIS Reference Dose (RfD) as a drinking water level criteria for carbaryl is 400 ug/L. 	2430	4281
Carbaryl		63-25-2	ug/L	MU	40	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The USEPA Health Advisory for carbaryl as a drinking water level with a one in a million cancer risk is 0.04 mg/L.	2430	4281
Carbaryl		63-25-2	ug/L	CO	2.1	4	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The USEPA National Recommended Aquatic Life criteria pursuant to Section 304(a) of the Clean Water Act for Carbaryl is 2.1 ug/L.	2430	4321
Carbaryl		63-25-2	ug/L	WA	2.1	4	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The USEPA National Recommended Aquatic Life criteria pursuant to Section 304(a) of the Clean Water Act for Carbaryl is 2.1 ug/L.	2430	4321
Chlorothalonil		1897-45-6	ug/L	MU	1.5	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The USEPA Health Advisory for Chlorothalonil as a drinking water level with a one in a million cancer risk is 0.0015 mg/L.	2430	4281
Dacthal		1861-32-1	ug/L	MU	70	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The USEPA Lifetime Health advisory level for Dacthal is 0.07 mg/L.	2430	4281
EPTC		759-94-4	ug/L	MU	180	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The USEPA safe lifetime exposure limit in drinking water for EPTC, calculated using the IRIS Reference Dose, is 180 ug/L."	2430	4355
Hexazinone		51235-04-2	ug/L	MU	400	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The USEPA Health Advisory for lifetime exposure to Hexazione as a drinking water level is a concentration of 400 ug/L	2430	4281
Imazalil		35554-44-0	ug/L	MU	91	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The USEPA expected safe lifetime exposure limit in drinking water for Imazalil, calculated using the IRIS Reference Dose, is 91 ug/L.   This was calculated assuming 70 kg body weight, 2 liters/day water consumption, 20% relative source contribution from drinking water, and 0.013 mg/kg/day as the reference dose."	2430	4355
Iprodione		36734-19-7	ug/L	MU	280	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The USEPA expected safe lifetime exposure limit in drinking water for Iprodione, calculated using the IRIS Reference Dose, is 280 ug/L.   This was calculated assuming 70 kg body weight, 2 liters/day water consumption, 20% relative source contribution from drinking water, and 0.04 mg/kg/day as the reference dose."	2430	4355
Malathion		121-75-5	ug/L	CO	0.028	4	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"Aquatic life should not be affected unacceptably if the 4-day average concentration of Malathion,  does not exceed 0.028 ug/L more than once every three years on the average (UC Davis Aquatic Life Criterion)."	2430	3946
Malathion		121-75-5	ug/L	WA	0.028	4	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"Aquatic life should not be affected unacceptably if the 4-day average concentration of Malathion,  does not exceed 0.028 ug/L more than once every three years on the average (UC Davis Aquatic Life Criterion)."	2430	3946
"Parathion, Methyl"		298-00-0	ug/L	CO	0.08	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The California Department of Fish and Wildlife instantaneous criteria for Methyl Parathion is 0.08 ug/L. 	2430	3741
"Parathion, Methyl"		298-00-0	ug/L	WA	0.08	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The California Department of Fish and Wildlife instantaneous criteria for Methyl Parathion is 0.08 ug/L. 	2430	3741
"Parathion, Methyl"		298-00-0	ug/L	MU	1	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The USEPA Health Advisory for lifetime exposure to Parathion, Methyl as a drinking water level is a concentration of 0.001 mg/L"	2430	4281
PCNB	Pentachloronitrobenzene	82-68-8	ug/L	MU	20	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"Archived  drinking water notification levels were published by the CA Department of Public Health and are for chemicals for which there is no drinking water MCL.  If a notification level is exceeded, local government notification is required and customer notification is recommended. The archived Notification Level for Pentachloronitrobenzene is 20 ug/L."	2430	3729
Pendimethalin		40487-42-1	ug/L	MU	280	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The USEPA expected safe lifetime exposure limit in drinking water for Pendimethalin, calculated using the IRIS Reference Dose, is 280 ug/L.   This was calculated assuming 70 kg body weight, 2 liters/day water consumption, 20% relative source contribution from drinking water, and 0.04 mg/kg/day as the reference dose."	2430	4355
Oxyfluorfen		42874-03-3	ug/L	MU	20	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"Based on USEPA IRIS reference dose, the expected safe lifetime exposure limit in drinking water for Oxyfluorfen is 20 µg/L. This was calculated assuming 70 kg body weight, 2 liters/day water consumption, 20% relative source contribution from drinking water, and 0.003 mg/kg/day as the reference dose."	2430	4355
Prometryn		7287-19-6	ug/L	MU	28	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The USEPA expected safe lifetime exposure limit in drinking water for Prometryn, calculated using the IRIS Reference Dose, is 28 ug/L.   This was calculated assuming 70 kg body weight, 2 liters/day water consumption, 20% relative source contribution from drinking water, and 0.004 mg/kg/day as the reference dose."	2430	4355
Pronamide		23950-58-5	ug/L	MU	1	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The USEPA Health Advisory for Pronamide as a drinking water level with a one in a million cancer risk is 0.001 mg/L.	2430	4281
Propiconazole		60207-90-1	ug/L	MU	91	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The USEPA expected safe lifetime exposure limit in drinking water for Propiconazole, calculated using the IRIS Reference Dose, is 91 ug/L.   This was calculated assuming 70 kg body weight, 2 liters/day water consumption, 20% relative source contribution from drinking water, and 0.013 mg/kg/day as the reference dose."	2430	4355
Resmethrin		10453-86-8	ug/L	MU	210	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The USEPA expected safe lifetime exposure limit in drinking water for Resmethrin, calculated using the IRIS Reference Dose, is 210 ug/L. This was calculated assuming 70 kg body weight, 2 liters/day water consumption, 20% relative source contribution from drinking water, and 0.03 mg/kg/day as the reference dose."	2430	4355
Sodium		7440-23-5	ug/L	AG	69000	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"Water Quality for Agriculture, published by the Food and Agriculture Organization of the United Nations in 1985, contains criteria protective of various agricultural uses of water, including irrigation of various types of crops and stock watering. At or below the sodium threshold of 69 mg/L, agricultural uses of water should not be limited."	2430	2648
Strontium		7440-24-6	ug/L	MU	4000	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The USEPA Health Advisory for lifetime exposure to Stronitum as a drinking water level is a concentration of 4 mg/L	2430	4281
Trifluralin		1582-09-8	ug/L	MU	4	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The USEPA Health Advisory for Trifluralin as a drinking water level with a one in a million cancer risk is 0.004 mg/L.	2430	4281
Alkalinity as CaCO3		Unknown	ug/L	CO	20000	4	The National Recommended Water Quality Criteria for Alkalinity as CaCO3 for the protection of freshwater aquatic life is not less than 20000 ug/L. (National Recommended Water Quality Criteria 2016)		4321	
Chloromethane		74-87-3	ug/L	MU	400	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The USEPA Health Advisory for 10 day exposure of  a 10 kg-Child to Chloromethane as a drinking water level is a concentration of 0.4 mg/L.	2430	4281
Isopropylbenzene		98-82-8	ug/L	MU	700	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The USEPA expected safe lifetime exposure limit in drinking water for Isopropylbenzene, calculated using the IRIS Reference Dose, is 0.7 mg/L.†† This was calculated assuming 70 kg body weight, 2 liters/day water consumption, 20% relative source contribution from drinking water, and 0.1 mg/kg/day as the reference dose."	2430	4281
Naphthalene		91-20-3	ug/L	CO	620	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The National Recommended Ambient Water Quality Criterion for Naphthalene is 620 ug/l. (EPA 440/5-80-059)	2430	4499
Naphthalene		91-20-3	ug/L	WA	620	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The National Recommended Ambient Water Quality Criterion for Naphthalene is 620 ug/l. (EPA 440/5-80-059)	2430	4499
Microcystins		101043-37-2	ug/L	R1	0.8	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The California Office of Health Hazard Assessment (OEHHA) action level for Microcystins for the protection of contact recreation of the most exposed swimmer (a 7 to 10 year old child) is .8 ug/L. (Toxicological Summary and Suggested Action Levels to Reduce Potential Adverse Health Effects of Six Cyanotoxins, OEHHA, May 2012)"	2430	4294
Prometon		1610-18-0	ug/L	MU	20	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The USEPA Health Advisory for 10 day exposure of  a 10 kg-Child to Prometon as a drinking water level is a concentration of 0.02 mg/L.	2430	4281
"Dichloropropene, trans 1,3-"	"Dichloropropene, trans 1,3-"	Unknown	ug/L	MU	0.4	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The USEPA Health Advisory for Dichloropropene, 1,3- as a drinking water level with a one in a million cancer risk is 0.0004 mg/L."	2430	4281
OilandGrease; HEM		Unknown	ug/L	CO	1	7	"Waters shall not contain oils, greases, waxes or other materials in concentrations that result in a visible film or coating on the surface of the water or on objects in the water, that cause nuisance, or that otherwise adversely affect the water for beneficial uses. "	"According to EPA ""Gold Book"", concentrations of oil at 0.001 mg/L can harm aquatic life."	2430	2529
OilandGrease; HEM		Unknown	ug/L	WA	1	7	"Waters shall not contain oils, greases, waxes or other materials in concentrations that result in a visible film or coating on the surface of the water or on objects in the water, that cause nuisance, or that otherwise adversely affect the water for beneficial uses. "	"According to EPA ""Gold Book"", concentrations of oil at 0.001 mg/L can harm aquatic life."	2430	2529
Gasoline		Unknown	ug/L	MU	5	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life. Waters shall not contain taste or odor-producing substances in concentrations that impart unsdeirable tastes or odors."	"The threshold odor concentration for refined petroleum products is 5 ug/L. (McKee and Wolk, 1963)"	2430	2527
Motor Oil		Unknown	ug/L	CO	1	7	"Waters shall not contain oils, greases, waxes or other materials in concentrations that result in a visible film or coating on the surface of the water or on objects in the water, that cause nuisance, or that otherwise adversely affect the water for beneficial uses. "	"According to EPA ""Gold Book"", concentrations of Motor oil at 0.001 mg/L can harm aquatic life."	2430	2529
Motor Oil		Unknown	ug/L	WA	1	7	"Waters shall not contain oils, greases, waxes or other materials in concentrations that result in a visible film or coating on the surface of the water or on objects in the water, that cause nuisance, or that otherwise adversely affect the water for beneficial uses. "	"According to EPA ""Gold Book"", concentrations of oil at 0.001 mg/L can harm aquatic life."	2430	2529
TPH as Diesel C10-C28		Unknown	ug/L	MU	56	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"Per the U.S. EPA's ""Oral Reference Doses and Oral Slope Factors for JP-4, JP-5, Diesel fuel, and Gasoline"" (Dollarhide 1992): The Suggested No Adverse Response Level for total petroleum hydrocarbons as diesel is 56.0 ug/l. †"	2430	2731
Metolachlor		51218-45-2	ug/L	MU	44	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The USEPA Water Quality Advisory for Metolachlor is 0.044 mg/L.  (USEPA Water Quality Advisory, March 1986, p. 15)"	2430	4502
Ethyl Tert-butyl Ether*		637-92-3	ug/L	MU	3500	7	This is a draft guideline that will be coming.  Draft Released 2017 by USEPA.  Left Objective and Guideline ref numbers blanks so that it will not be uploaded into CASSM  Do not add numbers until guideline is approved by EPA.  Based the number on the kidney inhilation RfD listed in the draft June 2017 guidance document out for peer review.	This is just a placeholder reference in the table so that we do not forget it later		
Pyrethroids		Unknown	ug/L	CO	1	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The evaluation guideline for the protection of aquatic life from pyrethroids is one toxic unit equivalent.  A toxic unit equivalent is equal to the sum of; Bifenthrin, Cyfluthrin, Cypermethrin, Lambda-Cyhalothrin, deltamethrin, and Permethrin, each having their reported concentration divided their respective evaluation guideline prior to being summed.  If this results in a value greater than one, the sample day is considered to be in exceedance of the water quality standard. (Department of Fish and Game Aquatic Life Criteria for Pyrethroid Insecticides, 2000, UC Davis Aquatic Life Criteria for Pyrethroid Insecticides, 2012)"	2430	"3734, 3934"
Pyrethroids		Unknown	ug/L	WA	1	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The evaluation guideline for the protection of aquatic life from pyrethroids is one toxic unit equivalent.  A toxic unit equivalent is equal to the sum of; Bifenthrin, Cyfluthrin, Cypermethrin, Lambda-Cyhalothrin, deltamethrin, and Permethrin, each having their reported concentration divided their respective evaluation guideline prior to being summed.  If this results in a value greater than one, the sample day is considered to be in exceedance of the water quality standard. (Department of Fish and Game Aquatic Life Criteria for Pyrethroid Insecticides, 2000, UC Davis Aquatic Life Criteria for Pyrethroid Insecticides, 2012)"	2430	"3734, 3934"
Pyrethroids		Unknown	ug/L	ES	1	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The evaluation guideline for the protection of aquatic life from pyrethroids is one toxic unit equivalent.  A toxic unit equivalent is equal to the sum of; Bifenthrin, Cyfluthrin, Cypermethrin, Lambda-Cyhalothrin, deltamethrin, and Permethrin, each having their reported concentration divided their respective evaluation guideline prior to being summed.  If this results in a value greater than one, the sample day is considered to be in exceedance of the water quality standard. (Department of Fish and Game Aquatic Life Criteria for Pyrethroid Insecticides, 2000, UC Davis Aquatic Life Criteria for Pyrethroid Insecticides, 2012)"	2430	"3734, 3934"
Pyrethroids		Unknown	ug/L	MA	1	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The evaluation guideline for the protection of aquatic life from pyrethroids is one toxic unit equivalent.  A toxic unit equivalent is equal to the sum of; Bifenthrin, Cyfluthrin, Cypermethrin, Lambda-Cyhalothrin, deltamethrin, and Permethrin, each having their reported concentration divided their respective evaluation guideline prior to being summed.  If this results in a value greater than one, the sample day is considered to be in exceedance of the water quality standard. (Department of Fish and Game Aquatic Life Criteria for Pyrethroid Insecticides, 2000, UC Davis Aquatic Life Criteria for Pyrethroid Insecticides, 2012)"	2430	"3734, 3934"
"Dichlorophenoxyacetic Acid, 2,4-"		94-75-7	ug/L	CO	299.2	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The evaluation guideline for Dichlorophenoxyacetic Acid, 2,4- is the USEPA Aquatic Life Benchmark of 299.2 ug/L for a vascular plant (acute)."	2430	4508
Acetaminophen		103-90-2	ug/L	CO	14750	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The evaluation guideline for Acetaminophen is the USEPA Aquatic Life Benchmark of 14750 ug/L for an invertebrate (acute).	2430	4508
Acetamiprid		135410-20-7	ug/L	CO	2.1	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The evaluation guideline for Acetamiprid is the USEPA Aquatic Life Benchmark of 2.1 ug/L for an invertebrate (chronic).	2430	4508
Aldicarb		116-06-3	ug/L	CO	10	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The evaluation guideline for Aldicarb is the USEPA Aquatic Life Benchmark of 10 ug/L for an invertebrate (acute).	2430	4508
Aldicarb Sulfone		1646-88-4	ug/L	CO	140	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The evaluation guideline for Aldicarb Sulfone is the USEPA Aquatic Life Benchmark of 140 ug/L for an invertebrate (acute).	2430	4508
Aldicarb Sulfoxide		1646-87-3	ug/L	CO	21.5	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The evaluation guideline for Aldicarb Sulfoxide is the USEPA Aquatic Life Benchmark of 21.5 ug/L for an invertebrate (acute).	2430	4508
Allethrin		584-79-2	ug/L	CO	1.05	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The evaluation guideline for Allethrin is the USEPA Aquatic Life Benchmark of 1.05 ug/L for an invertebrate (acute).	2430	4508
Atrazine		1912-24-9	ug/L	CO	1	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	"The evaluation guideline for Atrazine is the USEPA Aquatic Life Benchmark of < 1 ug/L for a nonvascular plant (acute).  The benchmark was derived from a ""less-than"" value (for example, <1,500) and may underestimate toxicity."	2430	4508
Azoxystrobin		131860-33-8	ug/L	CO	44	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The evaluation guideline for Azoxystrobin is the USEPA Aquatic Life Benchmark of 44 ug/L for an invertebrate (chronic).	2430	4508
Boscalid		188425-85-6	ug/L	CO	116	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The evaluation guideline for Boscalid is the USEPA Aquatic Life Benchmark of 116 ug/L for a fish (chronic).	2430	4508
Butylate		2008-41-5	ug/L	CO	105	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The evaluation guideline for Butylate is the USEPA Aquatic Life Benchmark of 105 ug/L for a fish (acute).	2430	4508
Captan		133-06-2	ug/L	CO	13.1	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The evaluation guideline for Captan is the USEPA Aquatic Life Benchmark of 13.1 ug/L for a fish (acute).	2430	4508
Chlorantraniliprole		500008-45-7	ug/L	CO	4.4	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The evaluation guideline for Chlorantraniliprole is the USEPA Aquatic Life Benchmark of 4.4 ug/L for an invertebrate (chronic).	2430	4508
Chlorpyrifos Methyl		5598-13-0	ug/L	CO	0.085	7	"All waters shall be maintained free of toxic substances in concentrations that are toxic to, or that produce detrimental physiological responses in human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The evaluation guideline for Chlorpyrifos Methyl is the USEPA Aquatic Life Benchmark of 0.085 ug/L for an invertebrate (acute).	2430	4508
